Var1,Var2,Var3,Var4,Var5,Var6
02261737050152,human_9_exo_load,2.0754,ha,0,0.00376853760354815
02261819060251,human_9_exo_load,2.1,ha,1,1.59461884189235
02261751470252,human_9_exo_load,2.1,ha,0,0.00108842312313635
02261816520351,human_9_exo_load,2.2,ha,1,0.164393435419939
02261750530352,human_9_exo_load,2.2,ha,0,0.0253793380657447
02261803080451,human_9_exo_load,1.8,ha,1,0.0394511595220051
02261733130452,human_9_exo_load,1.8,ha,0,0.00155966339774892
02261821500551,human_9_exo_load,1.6,ha,1,0.00801302362808222
02261754520552,human_9_exo_load,1.6,ha,0,0.0460644104713637
02261801030161,human_9_exo_load,2.0754,ka,1,498.950817554274
02261759120162,human_9_exo_load,2.0754,ka,0,104.142126847451
02261820360261,human_9_exo_load,2.1,ka,1,243.437994606602
02261754000262,human_9_exo_load,2.1,ka,0,2.64392364109911e-05
02261825320361,human_9_exo_load,2.2,ka,1,0.125794489908212
02261750000362,human_9_exo_load,2.2,ka,0,0.0348574763823551
02261825430461,human_9_exo_load,1.8,ka,1,1.06816175975456
02261752020462,human_9_exo_load,1.8,ka,0,0.0051751908551699
02261817340561,human_9_exo_load,1.6,ka,1,0.00190144986235181
02261749490562,human_9_exo_load,1.6,ka,0,0.00195460711394894
